,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Protéine,Sel,Catégorie
112,Little Grilled Chicken,295 kcal,"10,00g","0,000g","32,00g",-,"19,00g",-,Plat
113,Master Chèvre,824 kcal,"47,00g","18,000g","57,00g","11,00g","41,00g","2,50g",Plat
114,Long Chili Cheese,480 kcal,"28,00g","11,000g","28,00g","5,00g","28,00g","2,02g",Plat
115,Bbq Lover,712 kcal,"40,00g","14,000g","49,00g","13,00g","37,00g","3,50g",Plat
116,Stacker King,731 kcal,"46,00g","18,000g","38,00g","10,00g","40,00g","2,80g",Plat
117,Steakhouse Béarnaise,790 kcal,"51,00g","18,000g","45,00g","9,30g","36,00g","3,20g",Plat
118,Arkunir Burger,706 kcal,"42,00g","15,000g","44,00g","8,90g","39,00g","2,40g",Plat
119,King Fusion Carambar,295 kcal,"7,00g","3,300g","53,00g","39,00g","5,10g","0,66g",Dessert
120,Kroc Pom,32 kcal,"0,00g",-,"7,20g","7,10g","0,20g","0,00g",Dessert
121,Fondant,484 kcal,"31,00g","22,500g","44,50g","30,80g","6,00g","0,00g",Dessert
122,King Fusion Peanut Butter,205 kcal,"8,70g","2,800g","26,00g","20,00g","4,90g","0,52g",Dessert
123,Double Stacker King,1076 kcal,"71,00g","32,000g","38,00g","11,00g","68,00g","3,90g",Plat
124,Smoky Steakhouse ,907 kcal,"51,70g","20,900g","65,60g","16,00g","42,80g","9,00g",Plat
125,Trio de Beignets,331 kcal,"19,00g","6,600g","35,00g","16,00g","5,20g","0,60g",Dessert
126,Petits Shakes,247 kcal,"3,80g","2,500g","49,30g","44,90g","4,20g","0,50g",Dessert
127,Master Double Chèvre ,1092 kcal,"66,00g",-,"57,00g","11,00g","66,00g","2,70g",Plat
128,King Toast Original ,634 kcal,"32,10g","7,100g","48,20g","5,50g","38,70g","0,01g",Plat
129,Double Texas Bacon ,479 kcal,"28,40g","10,700g","28,00g","5,00g","26,90g","1,70g",Plat
130,Master Basque,293 kcal,"17,00g","7,100g","20,00g","4,20g","15,00g","0,92g",Plat
131,King Cornet Au Nutella ,196 kcal,"7,20g","1,500g","29,00g","21,00g","3,50g","0,08g",Dessert
132,King Toast Original ,32 kcal,"32,10g","17,100g","48,20g","5,50g","38,70g","0,01g",Plat
133,X-Cream Oreo,293 kcal,"11,20g","6,700g","41,90g","34,20g","5,80g","0,50g",Dessert
134,Toast Original ,634 kcal,"32,10g","17,100g","48,20g","5,50g","38,70g","7,75g",Plat
135,Le Gourmand Poivre et Bacon,793 kcal,"52,00g","18,000g","38,00g","3,30g","40,00g","2,60g",Plat
136,Master Rösti Forestier,1121 kcal,"72,00g","21,000g","74,00g","14,00g","45,00g","3,30g",Plat
