,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Fibre,Protéine,Sel,Catégorie
254,Le 280 Moutarde,806 kcal,"44,00g",-,"57,00g",-,,"44,00g",-,Plat
255,McBaguette,698 kcal,"34,00g","12,000g","62,00g","3,10g","4,0g","34,00g","2,90g",Plat
256,Petit Hot Dog,287 kcal,"15,00g","5,000g","26,00g","8,00g","2,0g","11,00g","0,00g",Plat
257,Poulet Ranch Ketchup,442 kcal,"19,00g","5,400g","45,00g","9,70g","3,5g","21,00g","7,00g",Plat
258,Salade Chicken Thaï,112 kcal,"4,00g","0,500g","10,70g","8,20g","2,9g","6,90g","0,00g",Plat
259,Grand Double Cheese Oignons,691 kcal,"35,00g","18,000g","51,00g","12,00g","3,5g","41,00g","8,50g",Plat
260,280 Sauce Fromagère,826 kcal,"46,00g",-,"56,00g",-,,"45,00g","0,01g",Plat
261,Le P'tit Fondu,353 kcal,"16,00g","6,500g","33,00g","6,30g","1,5g","17,00g","1,50g",Plat
262,McWrap Veggie,610 kcal,"34,00g","8,000g","61,00g","9,00g","2,0g","14,00g","5,50g",Plat
263,Cheddar & Smoky Bacon,960 kcal,"56,00g","27,000g","54,00g","15,00g","4,0g","58,00g","4,20g",Plat
264,Salade Poulet Moutarde ,456 kcal,"20,00g",-,"45,00g","13,00g","6,0g","21,00g",-,Plat
265,Marshmallow Bar Choco & Biscuit,272 kcal,"14,00g","8,900g","32,00g","25,00g","1,2g","2,80g","0,00g",Dessert
266,Grand Premium,905 kcal,"53,00g","20,000g","56,00g","12,00g","4,0g","49,00g","6,50g",Plat
267,Frappé Pistache,185 kcal,"5,00g",-,"35,00g",-,,"3,00g",-,Dessert
268,Mcwrap Chicken Maredsous Veggie ,526 kcal,"24,00g","7,300g","51,00g","5,90g","6,7g","22,00g","8,00g",Plat
269,Recette Raclette,630 kcal,"33,00g",-,"46,00g",-,,"36,00g","5,00g",Plat
270,Bagel Red Onion,553 kcal,"29,00g","29,000g","40,00g",-,,"32,00g","0,00g",Plat
271,Casse Croute Poulet Curry,771 kcal,"33,00g",-,"87,00g",-,,"26,00g","9,50g",Plat
272,280 Recette au Chèvre ,720 kcal,"38,00g","16,000g","52,00g","3,00g","3,0g","41,00g","6,00g",Plat
273,American Winter Bacon & Cheddar Fondu,641 kcal,"37,00g","15,000g","44,00g","10,00g","2,0g","32,00g","0,01g",Plat
274,Le Bœuf Ranch Moutarde,442 kcal,"24,00g","9,500g","32,00g","6,20g","2,7g","25,00g",-,Plat
275,Sauce au Tabasco Rouge,71 kcal,"5,30g","0,400g","5,00g","3,20g","0,4g","0,40g",-,Sauce
276,Classic Tendres Chips,187 kcal,"9,00g","6,000g","23,00g","0,00g","3,0g","2,00g",-,Accompagnement
277,Grand Chicago Classic,696 kcal,"36,00g",-,"52,00g",-,,"39,00g","7,50g",Plat
278,Le P’tit Focaccia,330 kcal,"16,00g","6,000g","29,00g","5,00g","1,0g","17,00g","0,00g",Plat
279,Le Chicken Mythic Bacon,685 kcal,"39,00g",-,"53,00g",-,,"29,00g",-,Plat
280,Le Charolais,325 kcal,"15,00g",-,"31,00g",-,,"17,00g","3,00g",Plat
